//corners
0, 512, 30,  1024,1
1040, 512,30,1024,1
512, 0, 1500,30,1
512, 765, 1500,30,1
//grid col 1
142, 137, 75, 75,0
142, 292, 75, 75,0
142, 447, 75, 75,0
142, 597, 75, 75,0
//grid col 2
292, 137, 75, 75,0
292, 292, 75, 75,0
292, 447, 75, 75,0
292, 597, 75, 75,0
//grid col 3
442, 137, 75, 75,0
442, 292, 75, 75,0
442, 447, 75, 75,0
442, 597, 75, 75,0
//grid col 4
592, 137, 75, 75,0
592, 292, 75, 75,0
592, 447, 75, 75,0
592, 597, 75, 75,0
//grid col 5
742, 137, 75, 75,0
742, 292, 75, 75,0
742, 447, 75, 75,0
742, 597, 75, 75,0
//grid col 6
892, 137, 75, 75,0
892, 292, 75, 75,0
892, 447, 75, 75,0
892, 597, 75, 75,0
