 -1, 0, 30,  1024,1
 1011, 0, 32,1024,1
 0, -1, 1012,  30,1
 0, 738, 1024, 30,1
 110, 115, 75, 75,0
 110, 265, 75, 75,0
 110, 415, 75, 75,0
 110, 565, 75, 75,0
 260, 115, 75, 75,0
 260, 265, 75, 75,0
 260, 415, 75, 75,0
 260, 565, 75, 75,0
 410, 115, 75, 75,0
 410, 265, 75, 75,0
 410, 415, 75, 75,0
 410, 565, 75, 75,0
 560, 115, 75, 75,0
 560, 265, 75, 75,0
 560, 415, 75, 75,0
 560, 565, 75, 75,0
 710, 115, 75, 75,0
 710, 265, 75, 75,0
 710, 415, 75, 75,0
 710, 565, 75, 75,0
 860, 115, 75, 75,0
 860, 265, 75, 75,0
 860, 415, 75, 75,0
 860, 565, 75, 75,0
